dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
"['World War I', 'Propaganda', 'Recruitment and Conscription', 'Remembrance', 'Trench Life']",['Western Front'],"['21st century', '20th century']","['World War I', 'Propaganda']","['1917', '1918']",TEXT,"['Urkunden und Medaillen von Franz Wiest', 'certificates and medals']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']",['Western Front'],"['21st century', '20th century']",['World War I'],['1914'],TEXT,"['FRAN-PA-325 Les frères Robelet en guerre', 'Three brothers in the First World War']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['Verdun (55 Meuse) mais aussi Arkhangel (Russie)', 'Western Front']","['21st century', '20th century']",['World War I'],"['1915', '1919']",TEXT,"['FRBNBU-149 Histoire de mon beau-père, Francisque Legendre', 'History from Francisque LEGENDRE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Remembrance']","['europeana19141918:place/4ccfa45add2be5504b77ce064fea48f4', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD043_064 La guerre de Jean Jouvenel, maréchal-ferrant', 'Documents from Jean Jouvenel']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/d5747ba67e1d5782321cd5c9d375d791', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Soldat mort avec un fils âgé de 7 jours', 'Soldier Dies Seven Days After his Son is Born']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/ddf0049fe4188f944b641ffa3c0af49d', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAM - Histoire de Jean Trémon', 'Document about Jean Trémon']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['europeana19141918:place/9e7e18bc8f2aa843bcddf7e455f94bdb', 'Western Front']","['21st century', '20th century']",['World War I'],['1915'],TEXT,"['FRAD087_042-Léon BELY, un convalescent à Bordeaux', 'Documents about Léon BELY']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD062_016 - Alcide Pruvot, 1914-1918.', 'FRAD062_016 - Alcide Pruvot, 1914-1918.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Middle East', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD062_039 - Jean-Baptiste Majonenc, 1914-1918.', 'FRAD062_039 - Jean-Baptiste Majonenc, 1914-1918.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD017 - Histoire de Charles Jaffard', 'Charles Jaffard']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Verdun', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD062_025 - Charles Augustin Joseph Maniez, 1914-1919.', 'FRAD062_025 - Charles Augustin Joseph Maniez, 1914-1919.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Gas Warfare', 'Trench Life']","['europeana19141918:place/6bb43539b699aad39333c8a036806520', 'Western Front']","['21st century', '20th century']",['World War I'],"['1920', '1913']",TEXT,"['AMSM-025_1 : Sept ans sous les drapeaux', ""Célestin Joseph Baptistin's Story from the Great War""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
